                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.85579,                 1.1366,                 1.4249,                0.91068,                0.37288,                0.49566,                0.36229,                 1.6697,                 2.2218,                 1.4977,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.94482,                 1.0876,                 1.2619,                0.91068,                0.37288,                0.49566,                0.36229,                 1.6697,                 2.2218,                 1.4977,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.93658,                 1.9365,                 1.3108,                0.90866,                0.37133,                0.49594,                0.35417,                 1.6873,                 2.2396,                 1.5058,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.78036,                  1.415,                 1.1847,                0.90866,                0.37133,                0.49594,                0.35417,                 1.6873,                 2.2396,                 1.5058,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.75106,                  1.253,                 1.1447,                0.91067,                0.37249,                0.46854,                0.33018,                 1.7006,                 2.2629,                 1.5214,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.48518,                0.93905,                0.96147,                0.91067,                0.37249,                0.46854,                0.33018,                 1.7006,                 2.2629,                 1.5214,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79627,                0.87263,                 1.0818,                 0.9109,                0.37218,                0.46654,                0.36348,                 1.6942,                 2.2594,                 1.5141,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.63301,                0.75957,                 1.0499,                 0.9109,                0.37218,                0.46654,                0.36348,                 1.6942,                 2.2594,                 1.5141,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67297,                0.90487,                  1.012,                0.91392,                0.37187,                0.45323,                0.35126,                 1.6903,                 2.2797,                 1.5126,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.55981,                 1.5283,                 1.0454,                0.91392,                0.37187,                0.45323,                0.35126,                 1.6903,                 2.2797,                 1.5126,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                   1.06,                 1.3483,                 1.3283,                0.91654,                0.37182,                0.45519,                0.35163,                 1.6908,                 2.2898,                 1.5147,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.88508,                0.90566,                 1.3064,                0.91654,                0.37182,                0.45519,                0.35163,                 1.6908,                 2.2898,                 1.5147,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.61538,                0.76512,                 1.0087,                0.91977,                0.37201,                0.47253,                0.36436,                 1.7015,                 2.3333,                 1.5159,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71648,                0.98471,                 1.1616,                0.91977,                0.37201,                0.47253,                0.36436,                 1.7015,                 2.3333,                 1.5159,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82836,                 1.6493,                 1.2548,                0.94207,                 0.3897,                0.46446,                0.35512,                 1.7008,                 2.3581,                 1.4993,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.91205,                 1.4742,                 1.2479,                0.94207,                 0.3897,                0.46446,                0.35512,                 1.7008,                 2.3581,                 1.4993,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.80332,                0.93863,                 1.2696,                0.94204,                0.39069,                0.46633,                0.35571,                 1.7132,                 2.3314,                 1.5074,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 0.7057,                 1.0756,                 1.2299,                0.94204,                0.39069,                0.46633,                0.35571,                 1.7132,                 2.3314,                 1.5074,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.79248,                0.84702,                 1.1493,                0.94275,                0.39076,                0.46609,                0.35543,                 1.7036,                 2.3432,                  1.505,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.84432,                0.94364,                 1.2427,                0.94275,                0.39076,                0.46609,                0.35543,                 1.7036,                 2.3432,                  1.505,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.63252,                0.68573,                 1.2043,                0.94275,                0.39076,                0.46609,                0.35543,                 1.7036,                 2.3432,                  1.505,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.76277,                0.81476,                 1.2248,                0.94558,                0.39282,                0.46683,                0.35614,                 1.6972,                 2.3431,                 1.4902,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69413,                0.90252,                 1.0492,                0.94558,                0.39282,                0.46683,                0.35614,                 1.6972,                 2.3431,                 1.4902,             2.9907e-05,             2.9907e-05,             2.9907e-05
